"","taxon","parent_taxon"
"681","Lipogomphus","Hebrinae"
"682","Macroveliidae","Hydrometroidea"
"683","Macrovelia","Macroveliidae"
"684","Oravelia","Macroveliidae"
"685","Geocorisae",NA
"686","Heteroptera-enicocephalomorpha",NA
"687","Enicocephalomorpha","Heteroptera"
"688","Enicocephalidae","Enicocephaloidea"
"689","Henicocephalidae",NA
"690","Boreostolus","Aenictopechinae"
"691","Alienates","Alienatinae"
"692","Brevidorsus","Enicocephalinae"
"693","Hymenocoris","Enicocephalinae"
"694","Systelloderes","Enicocephalinae"
"695","Heteroptera-dipsocoromorpha",NA
"696","Dipsocoromorpha","Heteroptera"
"697","Ceratocombidae","Dipsocoroidea"
"698","Ceratocombus","Ceratocombini"
"699","Ceratocombus",NA
"700","Leptonannus","Ceratocombini"
"701","Schizopteridae","Dipsocoroidea"
"702","Glyptocombus","Hypselosomatinae"
"703","Corixidea","Schizopterinae"
"704","Nannocoris","Schizopterinae"
"705","Schizoptera","Schizopterinae"
"706","Schizoptera",NA
"707","Dipsocoridae","Dipsocoroidea"
"708","Cryptostemmatidae",NA
"709","Cryptostemma","Dipsocorinae"
"710","Heteroptera-leptopodomorpha",NA
"711","Leptopodomorpha","Heteroptera"
"712","Leptopodidae","Leptopodoidea"
"713","Patapius","Leptopodinae"
"714","Saldidae","Leptopodoidea"
"715","Chiloxanthus","Chiloxanthinae"
"716","Pentacora","Chiloxanthinae"
"717","Lampracanthia","Saldinae"
"718","Salda","Saldinae"
"719","Teloleuca","Saldinae"
"720","Calacanthia","Saldinae"
"721","Ioscytus","Saldinae"
"722","Macrosaldula","Saldinae"
"723","Micracanthia","Saldinae"
"724","Rupisalda","Saldinae"
"725","Saldoida","Saldinae"
"726","Saldula","Saldinae"
"727","Heteroptera-cimicomorpha",NA
"728","Cimicomorpha","Heteroptera"
"729","Thaumastocoridae","Thaumastocoroidea"
"730","Xylastodoris","Xylastodoridinae"
"731","Tingidae","Tingoidea"
"732","Tingididae",NA
"733","Tingitidae",NA
"734","Acalypta","Tingitini"
"735","Acanthocheila","Tingitini"
"736","Alveotingis","Tingitini"
"737","Atheas","Tingitini"
"738","Calotingis","Tingitini"
"739","Corythaica","Tingitini"
"740","Dolichocysta",NA
"741","Corythucha","Tingitini"
"742","Dichocysta","Tingitini"
"743","Dictyla","Tingitini"
"744","Galeatus","Tingitini"
"745","Gargaphia","Tingitini"
"746","Hesperotingis","Tingitini"
"747","Leptodictya","Tingitini"
"748","Hanuala",NA
"749","Leptopharsa","Tingitini"
"750","Leptoypha","Tingitini"
"751","Melanorhopala","Tingitini"
"752","Phymacysta","Tingitini"
"753","Physatocheila","Tingitini"
"754","Pseudacysta","Tingitini"
"755","Stephanitis","Tingitini"
"756","Stephanitis",NA
"757","Teleonemia","Tingitini"
"758","Tingis","Tingitini"
"759","Tingis",NA
"760","Dictyonota","Ypsotingini"
"761","Dictyonota",NA
"762","Microphysidae","Miroidea"
"763","Chinaola","Microphysidae"
"764","Loricula","Microphysidae"
"765","Mallochiola","Microphysidae"
"766","Myrmedobia","Microphysidae"
"767","Miridae","Miroidea"
"768","Capsidae",NA
"769","Isometopidae",NA
"770","Monalocoris","Bryocorini"
"771","Campyloneura","Dicyphini"
"772","Cyrtopeltis","Dicyphini"
"773","Dicyphus","Dicyphini"
"774","Idolocoris",NA
"775","Macrolophus","Dicyphini"
"776","Tylocapsus",NA
"777","Caulotops","Eccritotarsini"
"778","Cyrtocapsus","Eccritotarsini"
"779","Halticotoma","Eccritotarsini"
"780","Hemisphaerodella","Eccritotarsini"
"781","Hesperolabops","Eccritotarsini"
